url,name,block_type
Google Meet ,Google Meet,0
Microsoft Teams ,Microsoft Teams,0
Skype ,Skype,0
Slack ,Slack ,0
Zoom ,Zoom ,0
Zoho Meeting ,Zoho Meeting ,0
GoToMeeting ,GoToMeeting ,0
Eyeson ,Eyeson ,0
Jitsi Meet ,Jitsi Meet ,0
Cisco Webex Meetings ,Cisco Webex Meetings ,0
Google Hangouts Chat ,Google Hangouts Chat ,0
Yammer ,Yammer ,0
Chanty ,Chanty ,0
RocketChat ,RocketChat ,0
Discord ,Discord ,0
Mattermost ,Mattermost ,0
Flock ,Flock ,0
Ryver ,Ryver ,0
Flowdock ,Flowdock ,0
RingCentral ,RingCentral ,0
Fleep ,Fleep ,0
Messages,Messages,0
Messenger ,Messenger ,0
Messages by Google,Messages by Google,0
