url,name,block_type
247solitaire.com,247solitaire.com,1
7sudoku.com,7sudoku.com,1
addictinggames.com,addictinggames.com,1
arkadium.com,arkadium.com,1
armorgames.com,armorgames.com,1
battle.net,battle.net,1
bestcrosswords.com,bestcrosswords.com,1
bicyclecards.com,bicyclecards.com,1
bigfishgames.com,bigfishgames.com,1
blizzard.com,blizzard.com,1
boardgamegeek.com,boardgamegeek.com,1
boatloadpuzzles.com,boatloadpuzzles.com,1
bulbagarden.net,bulbagarden.net,1
bungie.net,bungie.net,1
callofduty.com,callofduty.com,1
cardgames.io,cardgames.io,1
chess.com,chess.com,1
dictionary.com/games*,dictionary.com/games*,1
diversions.thestar.com,diversions.thestar.com,1
ea.com,ea.com,1
easports.com,easports.com,1
elderscrollonline.com,elderscrollonline.com,1
epicgames.com,epicgames.com,1
eurogamer.net,eurogamer.net,1
eveonline.com,eveonline.com,1
finalfantasyxiv.com,finalfantasyxiv.com,1
free-spider-solitaire.com,free-spider-solitaire.com,1
freeonlinegames.com,freeonlinegames.com,1
frontier.co.uk,frontier.co.uk,1
gamehouse.com,gamehouse.com,1
gamepedia.com,gamepedia.com,1
games.aarp.org,games.aarp.org,1
games.corusent.com,games.corusent.com,1
games.latimes.com,games.latimes.com,1
games.msn.com,games.msn.com,1
games.readersdigest.ca,games.readersdigest.ca,1
games.washingtonpost.com,games.washingtonpost.com,1
gamesgames.com,gamesgames.com,1
gamespot.com,gamespot.com,1
gamesradar.com,gamesradar.com,1
giantbomb.com,giantbomb.com,1
hattrick.org,hattrick.org,1
icy-veins.com,icy-veins.com,1
ign.com,ign.com,1
itch.io,itch.io,1
jigsawexplorer.com,jigsawexplorer.com,1
jigsawplanet.com,jigsawplanet.com,1
jigzone.com,jigzone.com,1
kiloo.com,kiloo.com,1
kongregate.com,kongregate.com,1
leagueoflegends.com,leagueoflegends.com,1
Minecraft.net,Minecraft.net,1
minesweeperonline.com,minesweeperonline.com,1
miniclip.com,miniclip.com,1
mmo-champion.com,mmo-champion.com,1
mtggoldfish.com,mtggoldfish.com,1
n4g.com,n4g.com,1
newgrounds.com,newgrounds.com,1
nexusmods.com,nexusmods.com,1
nintendo.com,nintendo.com,1
onelook.com,onelook.com,1
onlinegames.com,onlinegames.com,1
pcgamer.com,pcgamer.com,1
penny-arcade.com,penny-arcade.com,1
planetminecraft.com,planetminecraft.com,1
playbuzz.com,playbuzz.com,1
playok.com,playok.com,1
Playstation.com,Playstation.com,1
pogo.com,pogo.com,1
pokemon.com,pokemon.com,1
puzzlemaster.ca,puzzlemaster.ca,1
puzzles.chron.com,puzzles.chron.com,1
puzzles.usatoday.com,puzzles.usatoday.com,1
ravensburger.us,ravensburger.us,1
riddles.com,riddles.com,1
roblox.com,roblox.com,1
rockpapershotgun.com,rockpapershotgun.com,1
rockstargames.com,rockstargames.com,1
rubiks.com,rubiks.com,1
runescape.com,runescape.com,1
seriouspuzzles.com,seriouspuzzles.com,1
solitaire-web-app.com,solitaire-web-app.com,1
solitr.com,solitr.com,1
sporcle.com,sporcle.com,1
square-enix.com,square-enix.com,1
stadia.google.com,stadia.google.com,1
Store.steampowered.com,Store.steampowered.com,1
Desktop+ for Steam ,Desktop+ for Steam ,1
sudoku.com,sudoku.com,1
sudoku.game,sudoku.game,1
sudoku.name,sudoku.name,1
swtor.com,swtor.com,1
thejigsawpuzzles.com,thejigsawpuzzles.com,1
thesimsresource.com,thesimsresource.com,1
travian.com,travian.com,1
twitch.tv,twitch.tv,1
ubisoft.com,ubisoft.com,1
websudoku.com,websudoku.com,1
wizards.com,wizards.com,1
wordplays.com,wordplays.com,1
worldofsolitaire.com,worldofsolitaire.com,1
worldoftanks.com,worldoftanks.com,1
wowhead.com,wowhead.com,1
Xbox.com,Xbox.com,1
